Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic,$ImportLog
2,TC,5,?,?,?,?,?,1.800,15.510,5,?,Eligible_TC_NS,NS_Comment_TC,Test not available
3,TC,5,?,?,?,?,?,1.800,15.510,5,?,Eligible_TC_NS,NS_Comment_TC,Test not available
10,APOA,5,?,?,?,?,?,0.840,5.280,5,?,Eligible_APOA_NS,NS_Comment_APOA,Test not available
11,APOA,5,?,?,?,?,?,0.840,5.280,5,?,Eligible_APOA_NS,NS_Comment_APOA,Test not available
18,LAS_GLB,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_GLB_NS,NS_Comment_LAS_GLB,Test not available
19,LAS_GLB,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_GLB_NS,NS_Comment_LAS_GLB,Test not available
20,LAS_A/G,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_A/G_NS,NS_Comment_LAS_A/G,Test not available
21,LAS_A/G,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_A/G_NS,NS_Comment_LAS_A/G,Test not available
28,LAS_IBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_LAS_IBIL_NS,NS_Comment_LAS_IBIL,Test not available
29,LAS_IBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_LAS_IBIL_NS,NS_Comment_LAS_IBIL,Test not available
34,LAS_L/S,5,?,?,?,?,?,9.100,120.000,5,?,Eligible_LAS_L/S_NS,NS_Comment_LAS_L/S,Test not available
35,LAS_L/S,5,?,?,?,?,?,9.100,120.000,5,?,Eligible_LAS_L/S_NS,NS_Comment_LAS_L/S,Test not available
41,LAS_AFU,5,?,?,?,?,?,35.000,405.000,5,?,Eligible_LAS_AFU_NS,NS_Comment_LAS_AFU,Test not available
42,LAS_AFU,5,?,?,?,?,?,35.000,405.000,5,?,Eligible_LAS_AFU_NS,NS_Comment_LAS_AFU,Test not available
69,LAS_CO2,5,?,?,?,?,?,69.300,330.000,5,?,Eligible_LAS_CO2_NS,NS_Comment_LAS_CO2,Test not available
70,LAS_CO2,5,?,?,?,?,?,69.300,330.000,5,?,Eligible_LAS_CO2_NS,NS_Comment_LAS_CO2,Test not available
71,Fe,5,?,?,?,?,?,7.420,110.100,5,?,Eligible_Fe_NS,NS_Comment_Fe,Test not available
72,Fe,5,?,?,?,?,?,5.460,96.600,5,?,Eligible_Fe_NS,NS_Comment_Fe,Test not available
73,AMY_S,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_AMY_S_NS,NS_Comment_AMY_S,Test not available
74,AMY_S,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_AMY_S_NS,NS_Comment_AMY_S,Test not available
75,LAS_0hGLU,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_0hGLU_NS,NS_Comment_LAS_0hGLU,Test not available
76,LAS_0hGLU,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_0hGLU_NS,NS_Comment_LAS_0hGLU,Test not available
77,LAS_%HbAlc,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_%HbAlc_NS,NS_Comment_LAS_%HbAlc,Test not available
78,LAS_%HbAlc,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_%HbAlc_NS,NS_Comment_LAS_%HbAlc,Test not available
79,SFA,5,?,?,?,?,?,0.200,855.000,5,?,Eligible_SFA_NS,NS_Comment_SFA,Test not available
80,SFA,5,?,?,?,?,?,0.200,855.000,5,?,Eligible_SFA_NS,NS_Comment_SFA,Test not available
81,LAS_Random,5,?,?,?,?,?,0.200,855.000,5,?,Eligible_LAS_Random_NS,NS_Comment_LAS_Random,Test not available
82,LAS_Random,5,?,?,?,?,?,0.200,855.000,5,?,Eligible_LAS_Random_NS,NS_Comment_LAS_Random,Test not available
83,CYSC,5,?,?,?,?,?,0.413,3.090,5,?,Eligible_CYSC_NS,NS_Comment_CYSC,Test not available
84,CYSC,5,?,?,?,?,?,0.413,3.090,5,?,Eligible_CYSC_NS,NS_Comment_CYSC,Test not available
87,AMON,5,?,?,?,?,?,7.000,141.000,5,?,Eligible_AMON_NS,NS_Comment_AMON,Test not available
88,AMON,5,?,?,?,?,?,7.000,141.000,5,?,Eligible_AMON_NS,NS_Comment_AMON,Test not available
89,B-2MG,5,?,?,?,?,?,0.200,6.000,5,?,Eligible_B-2MG_NS,NS_Comment_B-2MG,Test not available
90,B-2MG,5,?,?,?,?,?,0.200,6.000,5,?,Eligible_B-2MG_NS,NS_Comment_B-2MG,Test not available
95,LAS_TSGF,5,?,?,?,?,?,84.000,750.000,5,?,Eligible_LAS_TSGF_NS,NS_Comment_LAS_TSGF,Test not available
96,LAS_TSGF,5,?,?,?,?,?,84.000,750.000,5,?,Eligible_LAS_TSGF_NS,NS_Comment_LAS_TSGF,Test not available
97,LPa,5,?,?,?,?,?,6.000,900.000,5,?,Eligible_LPa_NS,NS_Comment_LPa,Test not available
98,LPa,5,?,?,?,?,?,6.000,900.000,5,?,Eligible_LPa_NS,NS_Comment_LPa,Test not available
99,LA,5,?,?,?,?,?,0.350,6.660,5,?,Eligible_LA_NS,NS_Comment_LA,Test not available
100,LA,5,?,?,?,?,?,0.350,6.660,5,?,Eligible_LA_NS,NS_Comment_LA,Test not available
101,LIP,5,?,?,?,?,?,13.300,180.000,5,?,Eligible_LIP_NS,NS_Comment_LIP,Test not available
102,LIP,5,?,?,?,?,?,13.300,180.000,5,?,Eligible_LIP_NS,NS_Comment_LIP,Test not available
103,PCHE,5,?,?,?,?,?,2800.000,37800.000,5,?,Eligible_PCHE_NS,NS_Comment_PCHE,Test not available
104,PCHE,5,?,?,?,?,?,3570.000,35100.000,5,?,Eligible_PCHE_NS,NS_Comment_PCHE,Test not available
107,LAS_TRF,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_TRF_NS,NS_Comment_LAS_TRF,Test not available
108,LAS_TRF,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_TRF_NS,NS_Comment_LAS_TRF,Test not available
109,LAS_G6PD,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD_NS,NS_Comment_LAS_G6PD,Test not available
110,LAS_G6PD,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD_NS,NS_Comment_LAS_G6PD,Test not available
111,LAS_G6PD1,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD1_NS,NS_Comment_LAS_G6PD1,Test not available
112,LAS_G6PD1,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD1_NS,NS_Comment_LAS_G6PD1,Test not available
113,LAS_G6PD2,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD2_NS,NS_Comment_LAS_G6PD2,Test not available
114,LAS_G6PD2,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_G6PD2_NS,NS_Comment_LAS_G6PD2,Test not available
115,LAS_eGFRm,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_eGFRm_NS,NS_Comment_LAS_eGFRm,Test not available
116,LAS_eGFRf,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_eGFRf_NS,NS_Comment_LAS_eGFRf,Test not available
117,LAS_AGEm,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_AGEm_NS,NS_Comment_LAS_AGEm,Test not available
118,LAS_AGEm,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_AGEm_NS,NS_Comment_LAS_AGEm,Test not available
119,LAS_AGEf,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_AGEf_NS,NS_Comment_LAS_AGEf,Test not available
120,LAS_AGEf,5,?,?,?,?,?,3.500,45.000,5,?,Eligible_LAS_AGEf_NS,NS_Comment_LAS_AGEf,Test not available
128,PROG,5,?,?,?,?,?,0.623,11.640,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
129,PROG,5,?,?,?,?,?,0.252,13.350,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
130,PROG,5,?,?,?,?,?,9.884,267.420,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
131,PROG,5,?,?,?,?,?,7.434,243.840,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
132,PROG,5,?,?,?,?,?,0.252,6.960,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
133,PROG,5,?,?,?,?,?,24.976,858.600,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
134,PROG,5,?,?,?,?,?,56.875,852.870,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
135,PROG,5,?,?,?,?,?,107.737,4030.500,5,?,Eligible_PROG_NS,NS_Comment_PROG,Test not available
153,E2,5,?,?,?,?,?,52.320,438.300,5,?,Eligible_E2_NS,NS_Comment_E2,Test not available
154,E2,5,?,?,?,?,?,50.120,1587.600,5,?,Eligible_E2_NS,NS_Comment_E2,Test not available
155,E2,5,?,?,?,?,?,164.150,3927.300,5,?,Eligible_E2_NS,NS_Comment_E2,Test not available
156,E2,5,?,?,?,?,?,143.360,2358.300,5,?,Eligible_E2_NS,NS_Comment_E2,Test not available
157,E2,5,?,?,?,?,?,52.320,354.600,5,?,Eligible_E2_NS,NS_Comment_E2,Test not available
158,TESTO,5,?,?,?,?,?,5.880,86.100,5,?,Eligible_TESTO_NS,NS_Comment_TESTO,Test not available
159,TESTO,5,?,?,?,?,?,0.350,7.800,5,?,Eligible_TESTO_NS,NS_Comment_TESTO,Test not available
160,CORT,5,?,?,?,?,?,83.020,1854.000,5,?,Eligible_CORT_NS,NS_Comment_CORT,Test not available
161,CORT,5,?,?,?,?,?,59.710,1378.800,5,?,Eligible_CORT_NS,NS_Comment_CORT,Test not available
162,CORT,5,?,?,?,?,?,83.020,1854.000,5,?,Eligible_CORT_NS,NS_Comment_CORT,Test not available
163,CORT,5,?,?,?,?,?,59.710,1378.800,5,?,Eligible_CORT_NS,NS_Comment_CORT,Test not available
170,CA15-3,5,?,?,?,?,?,0.350,97.200,5,?,Eligible_CA15-3_NS,NS_Comment_CA15-3,Test not available
171,CA15-3,5,?,?,?,?,?,0.350,97.200,5,?,Eligible_CA15-3_NS,NS_Comment_CA15-3,Test not available
172,CA19-9,5,?,?,?,?,?,0.840,111.000,5,?,Eligible_CA19-9_NS,NS_Comment_CA19-9,Test not available
173,CA19-9,5,?,?,?,?,?,0.840,111.000,5,?,Eligible_CA19-9_NS,NS_Comment_CA19-9,Test not available
178,iPTH,5,?,?,?,?,?,1.022,27.030,5,?,Eligible_iPTH_NS,NS_Comment_iPTH,Test not available
179,iPTH,5,?,?,?,?,?,1.022,27.030,5,?,Eligible_iPTH_NS,NS_Comment_iPTH,Test not available
180,LAS_CsA,5,?,?,?,?,?,1.022,27.030,5,?,Eligible_LAS_CsA_NS,NS_Comment_LAS_CsA,Test not available
181,LAS_CsA,5,?,?,?,?,?,1.022,27.030,5,?,Eligible_LAS_CsA_NS,NS_Comment_LAS_CsA,Test not available
182,CTNI,5,?,?,?,?,?,0.004,0.180,5,?,Eligible_CTNI_NS,NS_Comment_CTNI,Test not available
183,CTNI,5,?,?,?,?,?,0.004,0.180,5,?,Eligible_CTNI_NS,NS_Comment_CTNI,Test not available
184,MYO,5,?,?,?,?,?,2.100,330.000,5,?,Eligible_MYO_NS,NS_Comment_MYO,Test not available
185,MYO,5,?,?,?,?,?,2.100,330.000,5,?,Eligible_MYO_NS,NS_Comment_MYO,Test not available
190,BNP2,5,?,?,?,?,?,1.400,300.000,5,?,Eligible_BNP2_NS,NS_Comment_BNP2,Test not available
191,BNP2,5,?,?,?,?,?,1.400,300.000,5,?,Eligible_BNP2_NS,NS_Comment_BNP2,Test not available
200,TSH,5,?,?,?,?,?,0.385,14.340,5,?,Eligible_TSH_NS,NS_Comment_TSH,Test not available
201,TSH,5,?,?,?,?,?,0.385,14.340,5,?,Eligible_TSH_NS,NS_Comment_TSH,Test not available
206,Ferr,5,?,?,?,?,?,33.600,2124.000,5,?,Eligible_Ferr_NS,NS_Comment_Ferr,Test not available
207,Ferr,5,?,?,?,?,?,15.400,1920.000,5,?,Eligible_Ferr_NS,NS_Comment_Ferr,Test not available
208,FOL,5,?,?,?,?,?,5.348,36.570,5,?,Eligible_FOL_NS,NS_Comment_FOL,Test not available
209,FOL,5,?,?,?,?,?,5.348,36.570,5,?,Eligible_FOL_NS,NS_Comment_FOL,Test not available
210,VB12,5,?,?,?,?,?,109.200,2016.000,5,?,Eligible_VB12_NS,NS_Comment_VB12,Test not available
211,VB12,5,?,?,?,?,?,109.200,2016.000,5,?,Eligible_VB12_NS,NS_Comment_VB12,Test not available
212,VitD,5,?,?,?,?,?,21.000,300.000,5,?,Eligible_VitD_NS,NS_Comment_VitD,Test not available
213,VitD,5,?,?,?,?,?,21.000,300.000,5,?,Eligible_VitD_NS,NS_Comment_VitD,Test not available
